Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,25.557199,25.893400,24.519100,24.716801,10.684627,13579849
2000-01-04,24.469700,24.786100,23.283300,23.698500,10.244434,15091975
2000-01-05,22.749399,23.214100,22.433001,22.591200,9.765766,16630987
2000-01-06,null,null,null,null,null,null
2000-01-07,22.640600,22.680201,22.264900,22.630699,9.782841,17595592
2000-01-10,23.698500,23.698500,23.046000,23.312901,10.077744,11308250
2000-01-11,23.678699,23.678699,22.986700,23.332701,10.086302,12123959
2000-01-12,23.055901,23.619400,22.778999,22.788900,9.851229,18074557
2000-01-13,23.728201,26.199900,23.579901,24.173100,10.449593,39018979
2000-01-14,24.222500,25.112301,23.925900,24.914600,10.770128,37773067
2000-01-17,25.606600,26.901800,25.408899,26.348200,11.389847,28658817
2000-01-18,26.842501,27.465401,26.150400,26.199900,11.325739,27540490
2000-01-19,26.002100,26.615101,25.834000,26.002100,11.240236,17701876
2000-01-20,25.903200,26.170200,25.270500,25.349600,10.958170,18233527
2000-01-21,24.904699,25.339701,24.618000,24.954100,10.787203,18082962
2000-01-24,24.914600,25.438601,24.568501,24.815701,10.727378,15023065
2000-01-25,24.410400,24.608101,23.975300,24.113800,10.423959,15968604
2000-01-26,24.370800,24.904699,24.202700,24.904699,10.765848,20536097
2000-01-27,25.359501,26.733700,25.132099,26.190001,11.321464,25442002
2000-01-28,26.496500,26.694201,25.656099,26.051500,11.261590,18460640
2000-01-31,25.606600,26.091101,25.211201,25.606600,11.069266,17079021
2000-02-01,25.715401,26.743601,25.616501,26.565701,11.483871,19993694
2000-02-02,26.595301,27.821301,26.377800,27.455500,11.868514,21607502
2000-02-03,27.673000,28.622101,27.495001,28.523199,12.330060,20348158
2000-02-04,28.671499,29.610800,28.661600,28.869301,12.479676,17649745
2000-02-07,28.908800,29.462500,28.285999,28.285999,12.227524,16309091
2000-02-08,28.622101,29.502001,28.473801,29.017599,12.543778,13979971
2000-02-09,29.215300,31.331100,29.185600,30.352301,13.120749,22322055
2000-02-10,29.858000,31.123400,29.808500,30.312700,13.103629,22227939
2000-02-11,30.955400,31.578199,30.708200,31.578199,13.650681,16819037
2000-02-14,31.687000,32.033001,30.905899,31.153099,13.466921,16445951
2000-02-15,31.044399,31.153099,29.867800,29.907400,12.928428,15080465
2000-02-16,30.154600,30.342400,28.819799,29.363600,12.693349,26510302
2000-02-17,29.363600,29.798599,28.473801,29.116400,12.586491,12978427
2000-02-18,29.165899,29.729401,29.066999,29.235100,12.637803,14424677
2000-02-21,28.473801,28.849501,28.206900,28.454000,12.300149,9806791
2000-02-22,28.276100,28.987900,27.633400,27.781700,12.009525,18251784
2000-02-23,28.028900,28.533100,27.860800,28.058599,12.129225,21328593
2000-02-24,28.473801,29.610800,28.414499,28.800100,12.449758,17394444
2000-02-25,29.215300,29.541599,29.037300,29.432800,12.723264,12404587
2000-02-28,29.264700,29.541599,28.869301,29.017599,12.543778,10612611
2000-02-29,29.215300,29.709700,28.819799,29.511900,12.757459,12789558
2000-03-01,29.788700,30.401699,29.413000,29.561300,12.778815,13184410
2000-03-02,29.808500,31.143200,29.581100,31.143200,13.462642,20137907
2000-03-03,31.390400,32.428501,28.671499,31.835300,13.761825,22649524
2000-03-06,32.379101,32.744900,31.884701,32.230801,13.932789,13834806
2000-03-07,32.230801,32.428501,31.143200,31.143200,13.462642,11021826
2000-03-08,30.500601,30.896000,29.976601,30.470900,13.172016,14858784
2000-03-09,30.549999,30.747700,30.164400,30.164400,13.039527,11280779
2000-03-10,30.540100,30.994900,29.838200,29.966700,12.954060,10922491
2000-03-13,29.966700,29.966700,29.966700,29.966700,12.954060,0
2000-03-14,29.660200,30.105101,29.126301,29.808500,12.885673,11385090
2000-03-15,29.363600,29.551500,28.325500,28.374901,12.265955,13523066
2000-03-16,28.671499,28.997801,27.584000,27.979500,12.095027,19786487
2000-03-17,28.582600,28.819799,27.139099,27.188499,11.753095,32307745
2000-03-20,27.682899,28.701200,27.623501,27.692801,11.971093,24401346
2000-03-21,27.979500,28.236500,27.623501,27.781700,12.009525,19815880
2000-03-22,28.177200,28.523199,27.386299,27.781700,12.009525,21247252
2000-03-23,27.781700,28.108000,27.050100,27.732300,11.988169,15305029
2000-03-24,27.930000,28.078300,27.346701,27.584000,11.924062,14523102
2000-03-27,27.781700,27.870701,27.346701,27.455500,11.868514,8549228
2000-03-28,27.435699,27.801500,27.139099,27.346701,11.821483,14930608
2000-03-29,27.188499,27.326900,26.644800,26.743601,11.560773,16253279
2000-03-30,26.496500,26.595301,25.754900,25.804399,11.154773,17932387
2000-03-31,25.705500,26.397600,25.112301,26.101000,11.282988,23687915
2000-04-03,25.814301,26.180099,24.815701,25.062901,10.834237,22494518
2000-04-04,24.786100,25.142000,24.519100,24.519100,10.599162,24112443
2000-04-05,24.321400,24.815701,23.728201,23.955601,10.355574,21464239
2000-04-06,24.321400,25.428699,24.054399,25.112301,10.855594,20888792
2000-04-07,25.497900,25.972500,25.458300,25.834000,11.167569,19897413
2000-04-10,26.170200,26.714001,25.903200,25.903200,11.197486,16916895
2000-04-11,25.211201,25.705500,24.618000,24.667400,10.663270,16276866
2000-04-12,24.914600,25.478100,24.736601,25.013500,10.812884,13344716
2000-04-13,24.509199,25.082600,24.291700,24.736601,10.693184,16125400
2000-04-14,24.410400,24.697100,23.945700,24.024799,10.385485,25077625
